name,boss_num,prog_time,guild_name
Sun King's Salvation,3,7.10017,Wanderlust
Artificer Xy'mox,4,0.03329,Wanderlust
Lady Inerva Darkvein,5,13.27657,Wanderlust
Shriekwing,0,1.42275,ethletes
Huntsman Altimor,1,0.85185,ethletes
Hungering Destroyer,2,3.31918,ethletes
Sun King's Salvation,3,0.43974,ethletes
Artificer Xy'mox,4,2.688,ethletes
Lady Inerva Darkvein,5,3.25483,ethletes
The Council of Blood,6,11.12409,ethletes
Sludgefist,7,7.66786,ethletes
Stone Legion Generals,8,0.02365,ethletes
Shriekwing,0,0.376,Remember
Huntsman Altimor,1,0.39034,Remember
Hungering Destroyer,2,1.45235,Remember
Sun King's Salvation,3,4.6583,Remember
Artificer Xy'mox,4,4.45995,Remember
Lady Inerva Darkvein,5,1.70576,Remember
The Council of Blood,6,0.04165,Remember
Shriekwing,0,0.09526,B A N T E R
Huntsman Altimor,1,0.26145,B A N T E R
Hungering Destroyer,2,0.26917,B A N T E R
Hungering Destroyer,2,2.32026,Tempest
Sun King's Salvation,3,2.60749,B A N T E R
Artificer Xy'mox,4,1.47945,B A N T E R
Lady Inerva Darkvein,5,0.68479,B A N T E R
The Council of Blood,6,6.70658,B A N T E R
Sludgefist,7,8.53604,B A N T E R
Stone Legion Generals,8,0.01717,B A N T E R
Shriekwing,0,1.05407,Battle Scarred
Huntsman Altimor,1,0.97175,Battle Scarred
Hungering Destroyer,2,1.93538,Battle Scarred
Sun King's Salvation,3,0.03232,Battle Scarred
Shriekwing,0,1.2465,Fillos de Breogan
Huntsman Altimor,1,3.52382,Fillos de Breogan
Hungering Destroyer,2,6.11516,Fillos de Breogan
Sun King's Salvation,3,0.02761,Fillos de Breogan
Shriekwing,0,0.51171,DMG
Huntsman Altimor,1,0.61733,DMG
Hungering Destroyer,2,6.61071,DMG
Sun King's Salvation,3,3.71206,DMG
Artificer Xy'mox,4,2.62379,DMG
Lady Inerva Darkvein,5,1.79278,DMG
The Council of Blood,6,10.99623,DMG
Sludgefist,7,26.64193,DMG
Stone Legion Generals,8,58.25908,DMG
Sire Denathrius,9,36.33412,DMG
Shriekwing,0,1.31993,Victory Lap
Huntsman Altimor,1,1.93608,Victory Lap
Hungering Destroyer,2,0.28279,Victory Lap
Sun King's Salvation,3,3.32749,Victory Lap
Artificer Xy'mox,4,6.03412,Victory Lap
Lady Inerva Darkvein,5,6.24467,Victory Lap
The Council of Blood,6,9.71018,Victory Lap
Sludgefist,7,0.02159,Victory Lap
Shriekwing,0,0.3453,Serpentis
Huntsman Altimor,1,1.23286,Serpentis
Hungering Destroyer,2,2.11215,Serpentis
Sun King's Salvation,3,3.25545,Serpentis
Artificer Xy'mox,4,0.52167,Serpentis
Lady Inerva Darkvein,5,1.8054,Serpentis
The Council of Blood,6,8.44539,Serpentis
Sludgefist,7,14.76251,Serpentis
Stone Legion Generals,8,30.25762,Serpentis
Sire Denathrius,9,0.01684,Serpentis
Shriekwing,0,0.11441,Awarëness
Huntsman Altimor,1,0.09496,Awarëness
Hungering Destroyer,2,1.79633,Awarëness
Sun King's Salvation,3,2.80949,Awarëness
Artificer Xy'mox,4,2.69063,Awarëness
Lady Inerva Darkvein,5,4.01216,Awarëness
The Council of Blood,6,15.18431,Awarëness
Sludgefist,7,7.98237,Awarëness
Stone Legion Generals,8,18.93709,Awarëness
Sire Denathrius,9,12.44035,Awarëness
Shriekwing,0,0.2949,Nevermore
Huntsman Altimor,1,0.33687,Nevermore
Hungering Destroyer,2,1.62865,Nevermore
Sun King's Salvation,3,3.18426,Nevermore
Artificer Xy'mox,4,3.29904,Nevermore
Lady Inerva Darkvein,5,7.13881,Nevermore
The Council of Blood,6,8.7722,Nevermore
Sludgefist,7,12.80982,Nevermore
Stone Legion Generals,8,15.59873,Nevermore
Sire Denathrius,9,0.01885,Nevermore
Shriekwing,0,0.62699,ECHOlogica
Huntsman Altimor,1,1.14405,ECHOlogica
Hungering Destroyer,2,3.28768,ECHOlogica
Sun King's Salvation,3,5.99484,ECHOlogica
Artificer Xy'mox,4,5.08775,ECHOlogica
